2021-11-29 17:24:50[10832]  [INFO] : CHaiKangCameraGrab::CloseCamera->leave
2021-11-29 17:42:47[10132]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 17:42:47[10132]  [INFO] : CBalserCameraGrab::CloseCamera->enter
2021-11-29 17:42:49[10132]  [INFO] : CHaiKangCameraGrab::CloseCamera->leave
2021-11-29 19:30:12[2708]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:15:14[10720]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:15:15[10720]  [INFO] : CBalserCameraGrab::CloseCamera->enter
2021-11-29 20:26:09[13160]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:26:15[13160]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:26:39[12468]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:26:39[12468]  [INFO] : CBalserCameraGrab::CloseCamera->enter
2021-11-29 20:26:40[12468]  [INFO] : CHaiKangCameraGrab::CloseCamera->leave
2021-11-29 20:27:51[13640]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:27:55[13640]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:28:03[5612]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:28:09[5612]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:28:18[8080]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:28:19[8080]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:29:58[11980]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:30:00[11980]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:31:01[11580]  [INFO] : CDHCameraGrab::CloseCamera->leave
2021-11-29 20:31:01[11580]  [INFO] : CBalserCameraGrab::CloseCamera->enter
2021-11-29 20:31:48[7052]  [INFO] : CHaiKangCamGrab::MV_CC_OpenDevice Failed!
2021-11-29 20:31:52[7052]  [INFO] : CDHCameraGrab::CloseCamera->leave
